Experience,UG,Location,PG,Salary,Department,Role Category
10 - 20 years,Any Graduate,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
8 - 13 years,,"Gurugram, Bengaluru, Mumbai (All Areas)",,Not Disclosed,,
0 - 3 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 10 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
15 - 24 years,B.Tech/B.E. in Any Specialization,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 3 years,Any Graduate,"Mumbai, Thane, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 7 years,B.Tech/B.E. in Any Specialization,Mumbai,MBA/PGDM in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 5 years,B.B.A/ B.M.S in Management,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
6 - 10 years,"LLB in Any Specialization, B.Tech/B.E. in Any Specialization",Mumbai,LLM in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
6 - 8 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 7 years,Any Graduate,Mumbai,"MBA/PGDM in Any Specialization, CA in CA",Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 6 years,Any Graduate,"Mumbai, New Delhi, Kanpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
6 months duration,,Navi Mumbai,MBA/PGDM in HR/Industrial Relations,"20,000/month","BFSI, Investments & Trading",Banking Operations
2 - 7 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)",,4-7 Lacs P.A.,"BFSI, Investments & Trading",Lending
1 - 4 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 5 years,Any Graduate,Pune,MS/M.Sc(Science) in Botany,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Ratangarh, Mumbai",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Mumbai, Thane",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Kolkata, Pune",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Chandannagar, Pune",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
8 - 11 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
7 - 10 years,Any Graduate,"Mumbai, Pune",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 8 years,Any Graduate,Bengaluru,,Not Disclosed,"BFSI, Investments & Trading",Lending
12 - 18 years,B.Tech/B.E. in Any Specialization,"Pune, Bengaluru",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 4 years,Any Graduate,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 4 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 15 years,Any Graduate,"Bangalore Rural, Bengaluru",,18-30 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 3 years,Any Graduate,Mumbai,,"50,000-3 Lacs P.A.","BFSI, Investments & Trading",Banking Operations
0 - 3 years,Any Graduate,"Mumbai, Andheri",,"50,000-2.75 Lacs P.A.","BFSI, Investments & Trading",Banking Operations
0 - 1 years,B.Com in Commerce,Mumbai,MBA/PGDM in Marketing,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 20 years,Any Graduate,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 20 years,Any Graduate,"Mumbai, Navi Mumbai, Mumbai (All Areas)",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 13 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
10 - 12 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 8 years,Any Graduate,"Hyderabad, Mumbai (All Areas)",,Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 10 years,Any Graduate,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)","CA in CA, Any Postgraduate, MBA/PGDM in Any Specialization",3-8 Lacs P.A.,"BFSI, Investments & Trading",Lending
1 - 3 years,Any Graduate,"Nashik, Pune",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
7 - 8 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 5 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 3 years,Any Graduate,Pune,"CA in CA, MBA/PGDM in Marketing",Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 4 years,Any Graduate,Pune,"Any Postgraduate, MBA/PGDM in Marketing",Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 10 years,B.Tech/B.E. in Any Specialization,Mumbai,"MBA/PGDM in Any Specialization, CA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.A in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 7 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 8 years,"Any Graduate, B.Com in Commerce, B.B.A/ B.M.S in Management",Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,"B.B.A/ B.M.S in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Com in Any Specialization",Mumbai,"MBA/PGDM in Any Specialization, M.Com in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 6 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 7 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 4 years,Any Graduate,Bengaluru,"MBA/PGDM in Any Specialization, CA in CA",Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 4 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,Any Graduate,Bengaluru,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,"Any Graduate, B.B.A/ B.M.S in Any Specialization",Hyderabad,MBA/PGDM in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Graduation Not Required,"Hyderabad( Ameerpet, Panjagutta, Kukatpally, HITEC City, Uppal, Suchitra, Bowenpally, Paradise Circle, Begumpet, Begum Bazaar, LB Nagar, Suraram, Manikonda, Jubilee Hills )",,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 7 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Kolhapur, Nagarkurnool",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Tuni,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Bokaro, Dhanbad, Jamshedpur, Ranchi",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Beawar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Amod, Rajsamand",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Lalsot,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Jaggayyapeta,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Bhagalpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
12 - 18 years,,Bengaluru,Any Postgraduate,25-40 Lacs P.A.,"BFSI, Investments & Trading",Lending
3 - 6 years,Any Graduate,Bengaluru,,Not Disclosed,"BFSI, Investments & Trading",Lending
7 - 12 years,,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 16 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 8 years,Any Graduate,Pune,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Nagaur, Ganganagar, Bikaner",,1.5-2 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,"Any Graduate, B.B.A/ B.M.S in Any Specialization",Chennai,MBA/PGDM in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 5 years,,Pune,,Not Disclosed,,
0 - 2 years,Any Graduate,Nuzvid,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Kaikalur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Guntur, Bapatla",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,"Kota, Jaipur, Bikaner, Jodhpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 7 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 9 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
6 - 8 years,,Pune( Hinjewadi ),,Not Disclosed,,
0 - 6 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 6 years,B.Tech/B.E. in Any Specialization,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,Akola,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
8 - 10 years,,Pune( Hinjewadi ),,Not Disclosed,,
4 - 9 years,Any Graduate,Pune,,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 7 years,Any Graduate,Pune,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 7 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,,Pune( Hinjewadi ),,Not Disclosed,,
1 - 12 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,"Mumbai, Thane, Mumbai (All Areas)",Any Postgraduate,3.5-8.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 4 years,Any Graduate,"Mumbai( Andheri East, Andheri MIDC, Andheri Kurla Road ), Mumbai Suburban",,3-5.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 4 years,Any Graduate,"Mumbai( Andheri East, Andheri MIDC, Andheri Kurla Road ), Mumbai Suburban",,3-5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 5 years,Any Graduate,"Nashik, Niphad, Mumbai (All Areas)",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 11 years,,Mumbai,,Not Disclosed,,
1 - 6 years,Any Graduate,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)( Andheri, Vashi, Chembur, Ghatkopar, Thane West )",,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 5 years,Graduation Not Required,"Mumbai, Thane, Navi Mumbai",,1.75-4.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 years,Any Graduate,Pune,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
3 - 8 years,Any Graduate,"Mumbai( Andheri East ), Mumbai Suburban, Mumbai (All Areas)",,3-4.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 7 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
7 - 8 years,B.Tech/B.E. in Any Specialization,Mumbai,"MBA/PGDM in Any Specialization, CA in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 10 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Madhepura, Bhuj, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 4 years,Any Graduate,"Mumbai, New Delhi, Kanpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
6 - 8 years,"BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization",Mumbai,"M.Com in Any Specialization, MBA/PGDM in Any Specialization",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,"Any Graduate, B.B.A/ B.M.S in Any Specialization",Bengaluru,MBA/PGDM in Any Specialization,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,Hyderabad,,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
5 - 7 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 8 years,Any Graduate,Bengaluru,"MBA/PGDM in Marketing, CA in CA",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 2 years,Any Graduate,"Varanasi, Bengaluru",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hyderabad, Ahmedabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hyderabad, Beawar, Ajmer",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Didwana, Nagaur, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hyderabad, Churu, Sujangarh",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Nagpur, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hyderabad, Ahmedabad, Rajkot",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Bhuj, kachchh, Hyderabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hyderabad, Veraval",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
9 - 12 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 9 years,Any Graduate,"Hyderabad, Bengaluru",,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,,Hyderabad,,Not Disclosed,,
2 - 6 years,Any Graduate,"Hyderabad( Moti Nagar, Uppal, RTC X Road, Kukatpally, Raniganj, Dilsukh Nagar, Banjara hills, Attapur Ring Road, Abids, Patancheruvu, Balapur, Manikonda, Panjagutta )",,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 4 years,Any Graduate,Bengaluru,"MBA/PGDM in Marketing, CA in CA",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
4 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 13 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
4 - 13 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,"Faizabad, Kishanganj",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Sardulgarh, Ahmedabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Bhavnagar, Kolkata, Rajkot",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Hamirpur, Sumerpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Surendranagar, Chennai",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 6 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 5 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,Any Graduate,Bengaluru,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
7 - 12 years,Diploma in Mechanical,Hyderabad,Medical-MS/MD in Psychology,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 years,Any Graduate,"Madurai, Chennai, Tiruchirapalli",Any Postgraduate,3.5-6 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Ghaziabad, Faridabad, Delhi / NCR",,2.75 Lacs P.A.,"BFSI, Investments & Trading",Lending
0 - 1 years,Any Graduate,Shimoga,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 5 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Thane,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 2 years,Any Graduate,Tinsukia,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
0 - 2 years,Any Graduate,"Jalalabad, Shahjahanpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
2 - 6 years,,"Chennai, Sholinganallur",,Not Disclosed,,
4 - 7 years,B.Com in Commerce,Chennai,"MBA/PGDM in Marketing, M.Com in Commerce",Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,B.Tech/B.E. in Any Specialization,Jaipur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
5 - 10 years,Any Graduate,Lucknow,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 - 5 years,Any Graduate,Lucknow,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Jamnagar, Ahmedabad, Rajkot, Surat, Vadodara",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,kachchh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Patran,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,"Kota, Jaipur, Bikaner, Jodhpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
2 - 4 years,Any Graduate,Chandigarh,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 6 years,Any Graduate,Bhavnagar,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
0 years,Any Graduate,"Madurai, Tiruchirapalli, Thoothukudi",Any Postgraduate,3.75-5.5 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 6 years,Any Graduate,"Hanumangarh, Nagaur, Ganganagar",,2-4 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
0 - 1 years,Any Graduate,"Tirunelveli, Tiruchirapalli, Thoothukudi",Any Postgraduate,3.25-4 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
2 - 5 years,Any Graduate,Noida,MBA/PGDM in Marketing,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
3 - 6 years,Any Graduate,Medchal,,3-4.5 Lacs P.A.,"BFSI, Investments & Trading",Lending
4 - 9 years,Any Graduate,"Didwana, Nagaur",,4-6 Lacs P.A.,"BFSI, Investments & Trading",Banking Operations
1 - 3 years,Any Graduate,Jodhpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Lalitpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,"Kolkata, Bankura",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Jodhpur,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,Sahibganj,Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 2 years,Any Graduate,"Birbhum, Bolpur",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Lending
1 - 3 years,Any Graduate,"Bareilly, Faridabad",Any Postgraduate,Not Disclosed,"BFSI, Investments & Trading",Banking Operations
